Date,VN_Index_Close,Total Volume,Total Value
2008-11-17,345.05,10592380.0,379200000000.0
2008-11-18,340.69,11884577.0,362510000000.0
2008-11-19,336.89,9755100.0,285470000000.0
2008-11-20,325.74,15314380.0,451670000000.0
2008-11-21,318.96,16983370.0,495180000000.0
2008-11-24,317.39,12967710.0,354270000000.0
2008-11-25,320.33,11102153.0,314930000000.0
2008-11-26,311.74,11743170.0,352520000000.0
2008-11-27,303.54,12820580.0,343530000000.0
2008-11-28,314.74,12301005.0,343200000000.0
2008-12-01,314.71,10796666.0,329130000000.0
2008-12-02,307.45,8175290.0,235100000000.0
2008-12-03,306.22,8247195.0,228630000000.0
2008-12-04,308.6,10294320.0,283820000000.0
2008-12-05,299.68,9990795.0,240920000000.0
2008-12-08,288.69,12000060.0,287040000000.0
2008-12-09,293.3,8867870.0,211130000000.0
2008-12-10,286.85,7792610.0,191490000000.0
2008-12-11,288.93,7384460.0,185420000000.0
2008-12-12,299.54,11780390.0,273730000000.00003
2008-12-15,308.28,9846200.0,243530000000.0
2008-12-16,296.42,12030200.0,315820000000.0
2008-12-17,301.02,15091610.0,364970000000.0
2008-12-18,305.56,11920760.0,284790000000.0
2008-12-19,307.26,15265800.0,362830000000.0
2008-12-22,310.05,14981900.0,553010000000.0
2008-12-23,303.93,19705506.0,614940000000.0
2008-12-24,304.05,11639300.0,283830000000.0
2008-12-25,302.19,9091411.0,217340000000.0
2008-12-26,304.46,8173090.0,229140000000.0
2008-12-29,308.56,8223350.0,206630000000.0
2008-12-30,316.32,14850841.0,435300000000.0
2008-12-31,315.62,15249388.0,404080000000.0
2009-01-02,313.34,5421670.0,130080000000.00002
2009-01-05,311.91,7274240.0,190820000000.0
2009-01-06,314.04,10322810.0,257019999999.99997
2009-01-07,319.58,13519550.0,351590000000.0
2009-01-08,314.15,13484590.0,349210000000.0
2009-01-09,313.4,6674080.0,174260000000.0
2009-01-12,312.18,5948070.0,143900000000.0
2009-01-13,307.13,7670750.0,174920000000.0
2009-01-14,307.98,6346570.0,166430000000.0
2009-01-15,304.01,5742036.0,146040000000.0
2009-01-16,306.12,7345550.0,198810000000.0
2009-01-19,304.98,4473728.0,106040000000.0
2009-01-20,302.86,4979620.0,109980000000.0
2009-01-21,300.04,4991450.0,120910000000.0
2009-01-22,301.12,4254770.0,101530000000.0
2009-01-23,303.21,4180731.0,106710000000.0
2009-02-02,297.52,4993140.0,146630000000.0
2009-02-03,288.69,8200600.0,190870000000.0
2009-02-04,286.11,5273240.0,116610000000.0
2009-02-05,277.81,7022040.0,152500000000.0
2009-02-06,281.63,7142120.0,168330000000.0
2009-02-09,287.57,5389430.0,125670000000.0
2009-02-10,282.02,5919960.0,159870000000.0
2009-02-11,276.22,7053540.0,151420000000.0
2009-02-12,276.09,7871990.0,159900000000.0
2009-02-13,274.51,5304160.0,97650000000.0
2009-02-16,272.31,4977810.0,97920000000.0
2009-02-17,263.07,10598401.0,210420000000.0
2009-02-18,255.09,10007070.0,207300000000.0
2009-02-19,254.85,8604990.0,167470000000.0
2009-02-20,252.57,7502570.0,148580000000.0
2009-02-23,244.02,9684830.0,178160000000.0
2009-02-24,235.5,9365590.0,177090000000.0
2009-02-25,244.33,9220320.0,173300000000.0
2009-02-26,242.53,13031580.0,230410000000.0
2009-02-27,245.74,10294360.0,170920000000.0
2009-03-02,247.66,8545360.0,158050000000.0
2009-03-03,241.46,8852320.0,151700000000.0
2009-03-04,244.36,7677550.0,132669999999.99998
2009-03-05,246.68,8431440.0,155660000000.0
2009-03-06,245.7,7717930.0,127510000000.0
2009-03-09,247.85,10425910.0,197250000000.0
2009-03-10,251.88,12387240.0,217630000000.0
2009-03-11,255.85,17119830.0,317020000000.0
2009-03-12,251.01,19289180.0,313090000000.0
2009-03-13,251.44,12665840.0,219580000000.0
2009-03-16,254.56,10815960.0,207430000000.0
2009-03-17,263.2,20350015.0,411770000000.0
2009-03-18,273.39,24703850.0,495370000000.0
2009-03-19,267.04,31409150.0,640130000000.0
2009-03-20,266.62,16186560.0,327830000000.0
2009-03-23,260.16,15058690.0,299720000000.0
2009-03-24,270.62,24371570.0,533120000000.0
2009-03-25,277.63,28352940.0,598220000000.0
2009-03-26,286.25,26991360.0,588270000000.0
2009-03-27,287.41,26539350.0,580160000000.0
2009-03-30,282.38,26275270.0,611080000000.0
2009-03-31,280.67,22958240.0,504270000000.0
2009-04-01,289.52,22184330.0,449870000000.0
2009-04-02,297.3,29188790.0,634440000000.0
2009-04-03,310.28,42344420.0,826940000000.0
2009-04-07,322.36,49105410.0,1232490000000.0
2009-04-08,313.76,55232550.0,1250110000000.0
2009-04-09,311.72,35348520.0,827670000000.0
2009-04-10,325.05,30441476.0,658040000000.0
2009-04-13,340.01,27672125.0,680620000000.0
2009-04-14,347.07,53579649.0,1297270000000.0
2009-04-15,339.29,62248579.0,1580460000000.0
2009-04-16,343.88,45420472.0,1195690000000.0
2009-04-17,334.14,68401117.0,1658290000000.0
2009-04-20,318.89,18209594.0,417380000000.0
2009-04-21,312.77,27131310.0,720190000000.0
2009-04-22,321.86,54036834.0,1332160000000.0
2009-04-23,315.2,29046170.0,702410000000.0
2009-04-24,309.9,28908610.0,627590000000.0
2009-04-27,313.69,21540160.0,518330000000.00006
2009-04-28,315.71,22094830.0,532590000000.00006
2009-04-29,321.63,25852320.0,616580000000.0
2009-05-04,336.64,14327044.0,322200000000.0
2009-05-05,351.32,27645840.0,671930000000.0
2009-05-06,350.14,78654147.0,2296320000000.0
2009-05-07,363.85,42056570.0,1093630000000.0001
2009-05-08,366.22,48970450.0,1441210000000.0
2009-05-11,372.95,43655440.0,1270980000000.0
2009-05-12,381.97,45484667.0,1276280000000.0
2009-05-13,378.25,52426320.0,1622920000000.0
2009-05-14,376.75,52585040.0,1502130000000.0
2009-05-15,390.16,50984890.0,1414510000000.0
2009-05-18,390.85,50123890.0,1389670000000.0
2009-05-19,400.9,51179770.0,1385360000000.0
2009-05-20,410.38,60304030.0,1901150000000.0
2009-05-21,412.51,61898950.0,1958580000000.0
2009-05-22,404.58,70966220.0,2028090000000.0
2009-05-25,421.75,44953510.0,1190310000000.0
2009-05-26,425.03,54676120.0,1682950000000.0
2009-05-27,425.17,58575560.0,1932950000000.0
2009-05-28,415.45,56556348.0,1839400000000.0
2009-05-29,411.64,48030230.0,1452290000000.0
2009-06-01,426.43,41762956.0,1284900000000.0
2009-06-02,440.56,52000307.0,1597930000000.0
2009-06-03,444.79,57553550.0,1930460000000.0
2009-06-04,458.19,59844928.0,2009310000000.0
2009-06-05,478.72,47081295.0,1900010000000.0
2009-06-08,501.49,32691084.0,1363750000000.0
2009-06-09,512.46,78247140.0,2920440000000.0
2009-06-10,497.51,101774520.0,3481120000000.0
2009-06-11,511.27,64244482.0,2518090000000.0
2009-06-12,509.59,66355335.0,2640790000000.0
2009-06-15,493.52,75629273.0,2836320000000.0
2009-06-16,471.97,46309735.0,1683410000000.0
2009-06-17,472.47,68648550.0,2610200000000.0
2009-06-18,479.27,57232285.0,2048820000000.0002
2009-06-19,475.22,50361610.0,1881250000000.0
2009-06-22,458.11,40924260.0,1585840000000.0
2009-06-23,438.55,31953770.0,1267970000000.0
2009-06-24,456.22,52651110.0,1763700000000.0
2009-06-25,453.76,52744360.0,2076790000000.0
2009-06-26,461.37,39118060.0,1409640000000.0
2009-06-29,460.42,28874240.0,1091920000000.0001
2009-06-30,448.29,40279340.0,1439260000000.0
2009-07-01,430.0,45214360.0,1825520000000.0
2009-07-02,433.79,43036820.0,1514620000000.0
2009-07-03,435.44,28625090.0,1025190000000.0
